Grouping,Subset,Property,GroupA,GroupB,nA,nB,MedianA,MedianB,CliffsDelta,DeltaMag,MWU_p,KS_stat,KS_p,MWU_p_BH,KS_p_BH
condition,all,Mass_kDa,Cytiva 0.5% TFA,Cytiva 10% FA,568,544,14.026,14.008,0.052,negligible,0.13644870489377534,0.07,0.121620387662153,0.23391206553218627,0.14594446519458362
condition,all,Mass_kDa,Cytiva 0.5% TFA,Cytiva 20% FA,568,508,14.026,13.993,0.114,negligible,0.0012177108291212633,0.122,0.0006246149364609134,0.00730626497472758,0.0017297029009686832
condition,all,Mass_kDa,Cytiva 2% TFA,Cytiva 10% FA,439,544,13.88,14.008,-0.106,negligible,0.0041193008592686885,0.16,6.812237625527371e-06,0.0185368538667091,2.724895050210949e-05
condition,all,Mass_kDa,Cytiva 2% TFA,Cytiva 20% FA,439,508,13.88,13.993,-0.042,negligible,0.26999520975999214,0.101,0.014716141555607375,0.3599936130133229,0.026489054800093274
condition,all,Mass_kDa,Cytiva 10% FA,Cytiva 20% FA,544,508,14.008,13.993,0.066,negligible,0.0636332012521565,0.088,0.030351462479783983,0.13475266147515497,0.04202510189508551
condition,all,IsoelectricPoint,MCW,MagReSyn 0.5% TFA,747,591,10.862,10.315,0.137,negligible,1.6144047234312134e-05,0.109,0.0007141262413377285,7.26482125544046e-05,0.001606784043009889
condition,all,IsoelectricPoint,MCW,MagReSyn 2% TFA,747,494,10.862,10.315,0.18,small,7.615652910903433e-08,0.198,1.2383376543244198e-10,1.3708175239626178e-06,2.229007777783956e-09
condition,all,IsoelectricPoint,MCW,MagReSyn 10% FA,747,582,10.862,10.315,0.105,negligible,0.0009709807884330612,0.09,0.009443252391579718,0.002688869875660785,0.016188432671279514
condition,all,IsoelectricPoint,MCW,MagReSyn 20% FA,747,477,10.862,10.486,0.054,negligible,0.11219773499671777,0.113,0.0010626917045041821,0.1835962936309927,0.0022504059624794443
condition,all,IsoelectricPoint,MCW,Cytiva 0.5% TFA,747,568,10.862,10.581,0.032,negligible,0.31466013293137796,0.04,0.664428702360905,0.4045630280546288,0.6834123795712165
condition,all,IsoelectricPoint,MCW,Cytiva 2% TFA,747,439,10.862,10.385,0.161,small,3.728529433369208e-06,0.216,9.479013088971527e-12,2.6845411920258297e-05,3.41244471202975e-10
condition,all,IsoelectricPoint,MCW,Cytiva 10% FA,747,544,10.862,10.883,0.01,negligible,0.7523321538344003,0.044,0.5448141247550835,0.7738273582296689,0.6129158903494689
condition,all,IsoelectricPoint,MCW,Cytiva 20% FA,747,508,10.862,10.883,-0.013,negligible,0.7041140646555644,0.067,0.12963205228137065,0.7455325390470682,0.16660158644686826
condition,all,IsoelectricPoint,MagReSyn 0.5% TFA,MagReSyn 2% TFA,591,494,10.315,10.315,0.027,negligible,0.44933890919651187,0.13,0.0002107295064745173,0.5392066910358142,0.0005057508155388416
